handle,title,brand,description,department_slug,tags,product_type,home_rails,activities,variant_size_preset,featured_image_url,image_gallery,price_min,price_max,currency,trend_score,category,gender,source_url,published
nike-air-max-90-white-black,Nike Air Max 90 - White / Black,Nike,Classic Nike runner-inspired sneaker with visible Air cushioning.,men,dept-men|sneakers|nike|air-max|home-trending-sneakers|activity-running,sneaker,trending-sneakers|popular-local,running|training,shoe,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=900&q=85,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=85,120,180,USD,99,sneakers,men,https://nike.com,true
adidas-samba-og-cloud-white,Adidas Samba OG - Cloud White,Adidas,Low-profile terrace sneaker with gum sole and leather upper.,unisex,dept-men|dept-women|sneakers|adidas|samba|home-trending-sneakers,sneaker,trending-sneakers|popular-local,training,shoe,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=900&q=85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=1200&q=85,100,150,USD,97,sneakers,unisex,https://adidas.com,true
new-balance-550-sea-salt,New Balance 550 - Sea Salt,New Balance,Court-inspired leather sneaker with vintage basketball proportions.,women,dept-women|sneakers|new-balance|basketball|home-trending-sneakers|activity-basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=900&q=85,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=1200&q=85,110,170,USD,94,sneakers,women,https://newbalance.com,true
essentials-heavy-fleece-hoodie,Essentials Heavy Fleece Hoodie - Jet Black,Essentials,Heavyweight fleece hoodie with dropped shoulder fit.,men,dept-men|apparel|hoodie|streetwear|home-featured-apparel,apparel,featured-apparel|popular-local,training,apparel,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=900&q=85,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=1200&q=85,80,130,USD,88,hoodies,men,https://example.com,true
alo-performance-legging-black,Alo Performance Legging - Black,Alo,Studio-to-street training legging with smooth compression.,women,dept-women|apparel|legging|training|home-featured-apparel|activity-training,apparel,featured-apparel|new-at-exch,training|running,apparel,https://images.unsplash.com/photo-1506629905607-d9f297dffb4c?w=900&q=85,https://images.unsplash.com/photo-1506629905607-d9f297dffb4c?w=1200&q=85,92,128,USD,84,apparel,women,https://example.com,true
air-jordan-1-retro-high-og-chicago,Air Jordan 1 Retro High OG - Chicago,Jordan,Iconic high-top basketball sneaker in the original Chicago colorway.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-1|jordan-1|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=900&q=85,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=85,220,750,USD,100,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%201%20Chicago,true
air-jordan-1-retro-high-og-bred,Air Jordan 1 Retro High OG - Bred,Jordan,Classic black and varsity red Air Jordan 1 with heritage court styling.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-1|jordan-1|bred|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=900&q=85,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=1200&q=85,240,850,USD,99,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%201%20Bred,true
air-jordan-1-retro-high-og-royal,Air Jordan 1 Retro High OG - Royal,Jordan,Original-inspired Air Jordan 1 in black and royal blue leather.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-1|jordan-1|royal|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=900&q=85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=1200&q=85,180,520,USD,97,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%201%20Royal,true
air-jordan-1-retro-high-og-shadow,Air Jordan 1 Retro High OG - Shadow,Jordan,Neutral black and grey Air Jordan 1 with easy everyday styling.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-1|jordan-1|shadow|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=900&q=85,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=1200&q=85,170,460,USD,95,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%201%20Shadow,true
air-jordan-1-retro-high-og-university-blue,Air Jordan 1 Retro High OG - University Blue,Jordan,Air Jordan 1 high-top with white leather and university blue overlays.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-1|jordan-1|university-blue|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=900&q=85,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=1200&q=85,190,520,USD,96,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%201%20University%20Blue,true
air-jordan-1-retro-high-og-lost-and-found,Air Jordan 1 Retro High OG - Lost and Found,Jordan,Vintage-inspired Chicago Air Jordan 1 with aged details and classic blocking.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-1|jordan-1|lost-and-found|chicago|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=900&q=85,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=1200&q=85,260,680,USD,98,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%201%20Lost%20and%20Found,true
air-jordan-3-retro-white-cement,Air Jordan 3 Retro - White Cement,Jordan,Legendary Air Jordan 3 with elephant print panels and white cement styling.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-3|jordan-3|white-cement|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=900&q=85,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=85,220,500,USD,98,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%203%20White%20Cement,true
air-jordan-3-retro-black-cement,Air Jordan 3 Retro - Black Cement,Jordan,Classic black cement Air Jordan 3 with visible Air and elephant print accents.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-3|jordan-3|black-cement|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=900&q=85,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=1200&q=85,240,620,USD,97,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%203%20Black%20Cement,true
air-jordan-3-retro-fire-red,Air Jordan 3 Retro - Fire Red,Jordan,Air Jordan 3 in white leather with fire red hits and elephant print trim.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-3|jordan-3|fire-red|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=900&q=85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=1200&q=85,180,360,USD,94,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%203%20Fire%20Red,true
air-jordan-3-retro-true-blue,Air Jordan 3 Retro - True Blue,Jordan,Heritage Air Jordan 3 colorway with true blue accents and elephant print.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-3|jordan-3|true-blue|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=900&q=85,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=1200&q=85,175,420,USD,92,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%203%20True%20Blue,true
air-jordan-3-retro-unc,Air Jordan 3 Retro - UNC,Jordan,University blue Air Jordan 3 with clean white leather and classic detailing.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-3|jordan-3|unc|university-blue|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=900&q=85,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=1200&q=85,220,520,USD,93,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%203%20UNC,true
